"","unidad","udad_anio","year","loc","sexo","edad","educ","nombre","jefe","desemp","size","tparcial","multiemp","privado","publico","cpsl","cpcl","profytec","oficina","manual","indust","comercio","sfinan","sperson","subemp","precario","ingreso","grupos_agnes_single_5","grupos_agnes_single_13","grupos_agnes_complete_10","grupos_agnes_complete_17","grupos_agnes_complete_3","grupos_agnes_complete_8","grupos_agnes_average_3","grupos_agnes_average_7","grupos_agnes_average_13","grupos_agnes_ward_3","grupos_agnes_ward_4","grupos_agnes_ward_5","grupos_agnes_sing_cl_10","grupos_agnes_mcl_9","grupos_agnes_mal_10"
"71","u27","IH331996",1996,"I","H","3","3","IH33",92.71,0,31.25,18.75,29.17,26.04,36.46,3.13,19.79,52.08,8.33,5.21,10.42,9.38,10.42,4.17,1.04,2.08,5.59,"3","6","6","7","2","5","3","5","7","3","4","4","6","6","6"
"72","u28","IM111996",1996,"I","M","1","1","IM11",7.2,23.11,78.82,32.51,4.43,74.38,0.99,6.4,14.29,1.97,2.46,14.29,13.79,19.7,1.97,53.2,11.33,70.44,1.07,"2","4","5","6","3","4","2","3","6","2","3","3","5","5","4"
"73","u3","MH131997",1997,"M","H","1","3","MH13",28.57,10.84,22.1,27.9,11.05,67.4,17.13,4.7,8.01,29.01,39.78,7.73,9.67,22.93,23.48,2.49,8.56,3.87,3.7,"1","9","4","5","2","3","3","4","5","2","2","2","4","4","5"
"74","u8","MH321997",1997,"M","H","3","2","MH32",91.71,4.59,36.76,18.85,10.29,41.18,20.32,8.82,15.64,7.22,17.11,24.47,19.65,20.99,11.63,8.96,5.35,3.74,4.46,"1","1","1","1","1","1","1","1","1","1","1","1","1","3","1"
"75","u16","MM311997",1997,"M","M","3","1","MM31",35.83,6.75,70.39,44.09,9.92,62.05,8.03,4.41,19.69,3.31,5.04,14.8,15.12,16.54,1.26,48.03,7.56,17.8,2.08,"2","4","2","4","1","1","2","3","4","2","3","3","2","1","4"
"76","u12","MM131997",1997,"M","M","1","3","MM13",8.09,16.37,16.13,34.84,12.69,67.74,25.16,0.43,4.09,38.71,41.51,3.01,8.82,16.34,20,2.8,11.83,3.87,3.15,"1","9","4","5","2","3","3","4","5","2","2","2","4","4","5"
"77","u33","IM231997",1997,"I","M","2","3","IM23",11.72,3.65,21.89,46.76,25.68,21.89,58.92,1.08,12.7,74.86,9.19,2.43,3.24,7.3,8.92,2.7,4.86,3.51,4.04,"3","6","7","8","2","6","3","6","8","3","4","4","7","7","7"
"78","u27","IH331997",1997,"I","H","3","3","IH33",93.59,1.28,42.86,24.68,31.17,16.88,31.17,1.3,24.68,48.05,7.79,6.49,9.09,12.99,15.58,2.6,1.3,0,5.02,"3","6","6","7","2","5","3","5","7","3","4","4","6","6","6"
"79","u25","IH311997",1997,"I","H","3","1","IH31",90.69,4.55,53.03,18.14,4.26,37.72,17.56,15.75,21.89,0.79,4.55,41.4,15.17,17.63,1.37,11.49,3.61,12.86,1.97,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"80","u32","IM221997",1997,"I","M","2","2","IM22",16.18,11.3,52.92,28.35,7.4,44.86,21.77,4.03,21.2,10.76,24.16,12.57,13.23,24.08,4.85,21.94,10.68,20.95,2.07,"1","2","2","2","1","1","1","1","2","2","2","2","2","1","2"
