"jefe"	 "desemp"	 "size"	 "tparcial"	 "multiemp"	 "privado"	 "publico"	 "cpsl"	 "cpcl"	 "profytec"	 "oficina"	 "manual"	 "indust"	 "comercio"	 "sfinan"	 "sperson"	 "subemp"	 "precario"	 "ingreso"	 "Comp.1"	 "Comp.2"	 "norma"	 "Cos 1"	 "Cos 2"
13,63	 28,79	 27,16	 65,9	 10,96	 68,98	 18,67	 2,62	 8,33	 35,19	 32,72	 3,24	 8,49	 16,98	 3,24	 11,11	 16,98	 38,73	 2,12	 -37,8605565336558	 43,4882106888141	 4394,12525723457	 0,326213218132127	 0,756611615583574
91,19	 5,29	 41,4	 24,65	 20,93	 32,25	 22,17	 5,43	 24,5	 38,45	 10,85	 27,75	 17,21	 15,97	 3,72	 9,3	 11,78	 12,4	 5	 53,9783870841902	 -7,83219163252233	 3620,89112445679	 0,804682099533655	 0,821623571580196
25,74	 24,68	 70,9	 72,03	 11,86	 72,03	 3,95	 5,37	 15,54	 1,69	 1,69	 11,02	 11,86	 18,08	 1,13	 7,06	 32,49	 64,97	 1,46	 -62,2203551501164	 -7,54229168574398	 6251,87625279012	 0,619233720961587	 0,628332775640965
5,88	 42,86	 64,71	 107,35	 5,88	 76,47	 2,94	 10,29	 8,82	 0	 2,94	 16,18	 19,12	 20,59	 0	 4,41	 22,06	 66,18	 1,41	 -88,8907204267371	 4,41159906500341	 12196,4383461235	 0,647858001962991	 0,649453730630493
39,37	 12,79	 73,9	 43,05	 8,95	 65,14	 7,24	 5,52	 18,48	 1,14	 5,71	 14,67	 15,24	 13,9	 0,38	 8,95	 23,62	 51,05	 1,64	 -34,6174200023855	 -18,5247781448308	 2704,66108167901	 0,443074282297002	 0,569954284985608
76,88	 6,04	 43,1	 22,26	 13,64	 38,24	 24,92	 9,72	 21,16	 24,14	 7,99	 42,95	 18,18	 18,81	 1,57	 6,43	 9,87	 32,92	 2,12	 31,0918887329858	 -23,171998555735	 2051,25534612346	 0,471275088599422	 0,733037485992665
39,12	 10,44	 48,42	 28,85	 9,88	 47,83	 21,74	 7,11	 16,01	 10,47	 31,62	 12,06	 14,23	 15,81	 2,17	 13,83	 14,03	 26,68	 2,27	 -4,37967101226176	 4,81220733885362	 623,54937945679	 0,0307618270622867	 0,0678997671117024
91,08	 5,2	 53,33	 20,78	 11,76	 27,84	 21,57	 13,33	 26,27	 27,45	 5,1	 46,27	 16,47	 18,04	 1,18	 6,27	 12,94	 23,92	 2,46	 46,8026934536593	 -31,1387040115776	 4035,70908834568	 0,542777506149516	 0,783037362916869
36,6	 4,68	 40,63	 20,98	 12,5	 31,25	 38,84	 6,25	 17,41	 44,2	 15,18	 12,95	 12,95	 9,38	 1,34	 13,84	 11,61	 24,11	 2,23	 18,3172122823147	 28,3591703717794	 1899,23877834568	 0,176660391321429	 0,600115595240622
75,96	 8,3	 55,1	 27,15	 3,13	 45,13	 16,94	 22,16	 14,15	 2,44	 1,62	 54,18	 12,88	 17,29	 0,35	 0,7	 13,69	 43,97	 1,33	 12,1603703095676	 -49,0832771093516	 3403,88851667901	 0,0434428464214471	 0,751212234281393
9,76	 30,49	 78,95	 80,7	 5,26	 75,44	 1,75	 11,4	 7,89	 0,88	 5,26	 11,4	 12,28	 13,16	 0	 3,51	 28,95	 71,93	 0,99	 -82,0240558220789	 -3,56959440389489	 9369,07074112346	 0,718101711408015	 0,71946171866598
40,25	 16,34	 78,78	 42,65	 5,88	 59,03	 7,14	 8,19	 22,48	 0,42	 3,15	 13,66	 12,82	 14,08	 0	 7,56	 19,12	 55,88	 1,05	 -35,1486485334987	 -21,5413500257879	 3235,30561667901	 0,38185804993581	 0,52528492081357
35,18	 8,79	 58,21	 26,79	 7,14	 35,71	 26,43	 8,57	 20,36	 9,64	 21,79	 13,93	 10	 20	 0,71	 12,14	 13,21	 29,64	 1,7	 -3,79211557324155	 2,07660502783972	 977,795372234568	 0,0147066972591187	 0,0191169128973808
